what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1466742416246
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1466742416246
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1466742416246
java.specification.name,sysinfo,,,"Java Platform API Specification",1466742416246
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466742416246
java.specification.version,sysinfo,,,"1.7",1466742416246
java.vendor,sysinfo,,,"Oracle Corporation",1466742416246
java.version,sysinfo,,,"1.7.0_79",1466742416246
java.vm.info,sysinfo,,,"mixed mode",1466742416246
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466742416246
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466742416246
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466742416246
java.vm.specification.version,sysinfo,,,"1.7",1466742416246
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466742416246
java.vm.version,sysinfo,,,"24.79-b02",1466742416246
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1466742416589
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1466742416635
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1466742416838
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1466742416932
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1466742417041
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1466742417119
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1466742417259
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1466742417462
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1466742418568
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466742441237
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466742443294
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1466742443450
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1466742446537
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1466742446771
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1466742447597
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466742457979
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1466742460226
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1466742460257
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1466742460288
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1466742460288
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1466742460350
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1466742460366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466742475877
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466742490486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742492434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742504656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1466742504687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742516207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742520714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1466742520714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1466742520714
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1466742523505
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1466742523629
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1466742523645
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1466742523676
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1466742523754
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1466742523926
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1466742523926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742524269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742536630
error,log,,,"Cannot install remote marketplace locations.: ",1466742536662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742536849
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1466742536895
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1466742537082
error,log,,,"Unexpected exception",1466742549181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742558036
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1466742558036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742561013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742564958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466742566209
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1466742593768
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1466742626840
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1466742627136
