what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466480945216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466480952766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466480962641
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466480986228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466480988100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466480994059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466480994356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466480995510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1466480995510
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466480997881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466481000923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481029144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481032014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481032186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481033184
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466481033762
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481055883
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481055929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466481060921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466481071795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481073402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481074447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481083387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481083402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481083652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481085431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481086827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481087556
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466481087567
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481115099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481117017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481248170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481248919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481259262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481262023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481262226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481263209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481268857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481268873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481268982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481271209
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466481271284
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481310332
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466481310520
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481312752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466481315373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466481329242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466481331941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481340318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481344951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481353766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481379771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466481646787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466481679563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466481679813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466481680546
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466481683323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481685663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481721964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481743773
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481762244
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481762260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481762431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481765380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481766628
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481772322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466481774397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481775270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481777876
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481779810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466481781214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481787610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481789248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481790496
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466481798608
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481798842
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481798873
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481806486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481818639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481829434
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481830620
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481833755
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481836236
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466481848607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481863895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481865330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481867811
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481869651
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481874612
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481877483
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481883178
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481884582
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481885627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481885674
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481888513
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481888513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481889574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466481896204
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481904862
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481911212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481921243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466481926640
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481927795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466481930322
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466481937186
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1466481938762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481946125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466481965716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466481967525
