what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1466044310031
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1466044310055
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1466044310056
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1466044310057
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1466044310057
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1466044310057
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1466044310057
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1466044310058
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1466044310059
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1466044310063
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1466044310079
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1466044310080
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1466044310081
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1466044310104
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1466044310124
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1466044310125
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1466044310126
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1466044310152
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1466044310166
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1466044310167
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1466044310192
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1466044310193
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1466044310194
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1466044310199
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1466044310200
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1466044310201
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1466044310202
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1466044310207
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1466044310215
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1466044310216
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1466044310217
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1466044310217
os,sysinfo,,,"win32",1466044310220
arch,sysinfo,,,"x86_64",1466044310220
ws,sysinfo,,,"win32",1466044310220
locale,sysinfo,,,"en_US",1466044310220
processors,sysinfo,,,"2",1466044310220
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1466044310220
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1466044310220
java.specification.name,sysinfo,,,"Java Platform API Specification",1466044310220
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466044310220
java.specification.version,sysinfo,,,"1.7",1466044310220
java.vendor,sysinfo,,,"Oracle Corporation",1466044310220
java.version,sysinfo,,,"1.7.0_79",1466044310220
java.vm.info,sysinfo,,,"mixed mode",1466044310220
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466044310220
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466044310220
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466044310220
java.vm.specification.version,sysinfo,,,"1.7",1466044310220
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466044310220
java.vm.version,sysinfo,,,"24.79-b02",1466044310220
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1466044310637
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1466044310660
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466045123373
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466045123460
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466045236629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466045499036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466045517579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466045518101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466045520912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048431755
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466048435939
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1466048442450
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1466048442465
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1466048442871
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1466048442871
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1466048442996
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1466048443011
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1466048443276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048445663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048460514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1466048460514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048496991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048544444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048768181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048777707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048827915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466048840895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466049016402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466049024811
