what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465871670143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465871671453
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465871674369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465871686907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465871701783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465871703078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465871704481
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1465871724722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465871744792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465871840087
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1465871843581
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465871850021
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465871850114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465872133540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465872435859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465872574542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465872579222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465877890529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465877891637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465877893618
