what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1466389237975
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1466389237975
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1466389237975
java.specification.name,sysinfo,,,"Java Platform API Specification",1466389237975
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466389237975
java.specification.version,sysinfo,,,"1.7",1466389237975
java.vendor,sysinfo,,,"Oracle Corporation",1466389237975
java.version,sysinfo,,,"1.7.0_79",1466389237975
java.vm.info,sysinfo,,,"mixed mode",1466389237975
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466389237975
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466389237975
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466389237975
java.vm.specification.version,sysinfo,,,"1.7",1466389237975
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466389237975
java.vm.version,sysinfo,,,"24.79-b02",1466389237975
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1466389238502
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1466389238564
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1466389238579
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1466389238579
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1466389238952
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1466389239215
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1466389239370
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1466389239479
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1466389239944
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1466389240177
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1466389241278
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1466389241309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466389244116
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1466389250505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466389253329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466389256353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391154720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391158945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391271814
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466391277868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466391277915
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1466391278617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466391293108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466391294543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466391296337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466391298552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391316165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391316305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391321374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391321468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391326116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391326210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391329049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391329111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391332527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391332637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391338519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391338660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391347442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466391347598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466391352293
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466391360357
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466391360388
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466391371666
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466391371697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466391388575
