what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466567251150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466567253802
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1466567299199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567310602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466567317669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567318668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466567341725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567349463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567349603
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567374766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567379930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567383503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567383503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567384844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567391023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567391039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567391257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567391624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567393124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567393799
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466567393816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567427260
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567435279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567440146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567440318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466567450130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466567459646
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567489303
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567498600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567509942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567554995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567555182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567574261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567574448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567605336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567609236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567609377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466567619860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466567638549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567650826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567650967
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567702384
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567716674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466567736908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567754458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567755768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567756080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567758779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466567760620
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567778809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466567803988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567806874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567808496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567808606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567810275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567815283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567815299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567815393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567815865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567816694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567817183
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466567817194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567844105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567844760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567846429
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567846445
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567848410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567866195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567897410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466567904150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466567920343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567930545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466567934570
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466567934585
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567938782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466567940794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1466567950747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466567992446
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568003444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568006127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568010714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466568018530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466568022289
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466568051945
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568068824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568068855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466568077997
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568080415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466568088153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568121178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568121724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568122239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568123518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568131802
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568144095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568150600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568150740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466568153533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568164609
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568168478
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568173361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568180615
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1466568180615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568182970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568255214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568262391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568280955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568281470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568281845
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568287679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466568290846
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568292921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466568301329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466568302655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568305307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466568309488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568316867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466568317163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568320829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1466568322811
